Actions,Actions Url,WIID,Description,Type,Status,Date
,https://acme-test.uipath.com/work-items/91000129,91000129,Verify Account Position,WI1,Open,2017-09-10
,https://acme-test.uipath.com/work-items/91000078,91000078,Research Client Check Copy,WI2,Open,2018-12-18
,https://acme-test.uipath.com/work-items/91000059,91000059,Process Vendor Invoice,WI3,Open,2017-02-16
,https://acme-test.uipath.com/work-items/91000141,91000141,Verify Account Position,WI1,Open,2020-07-25
,https://acme-test.uipath.com/work-items/91000112,91000112,Research Client Check Copy,WI2,Open,2021-02-01
,https://acme-test.uipath.com/work-items/91000096,91000096,Research Client Check Copy,WI2,Open,2022-10-10
,https://acme-test.uipath.com/work-items/91000039,91000039,Calculate Client Security Hash,WI5,Open,2020-12-16
,https://acme-test.uipath.com/work-items/91000114,91000114,Research Client Check Copy,WI2,Open,2019-08-29
,https://acme-test.uipath.com/work-items/91000106,91000106,Research Client Check Copy,WI2,Open,2017-09-07
,https://acme-test.uipath.com/work-items/91000056,91000056,Process Vendor Invoice,WI3,Open,2020-07-13
,https://acme-test.uipath.com/work-items/91000150,91000150,Verify Account Position,WI1,Open,2017-12-03
,https://acme-test.uipath.com/work-items/91000122,91000122,Verify Account Position,WI1,Open,2017-05-13
,https://acme-test.uipath.com/work-items/91000046,91000046,Generate Yearly Report for Vendor,WI4,Open,2018-01-30
,https://acme-test.uipath.com/work-items/91000032,91000032,Calculate Client Security Hash,WI5,Open,2017-11-10
,https://acme-test.uipath.com/work-items/91000147,91000147,Verify Account Position,WI1,Open,2017-02-08
,https://acme-test.uipath.com/work-items/91000027,91000027,Calculate Client Security Hash,WI5,Open,2019-09-26
,https://acme-test.uipath.com/work-items/91000103,91000103,Research Client Check Copy,WI2,Open,2019-04-08
,https://acme-test.uipath.com/work-items/91000137,91000137,Verify Account Position,WI1,Open,2018-05-26
,https://acme-test.uipath.com/work-items/91000024,91000024,Calculate Client Security Hash,WI5,Open,2022-09-08
,https://acme-test.uipath.com/work-items/91000105,91000105,Research Client Check Copy,WI2,Open,2022-07-05
,https://acme-test.uipath.com/work-items/91000070,91000070,Research Client Check Copy,WI2,Open,2018-08-29
,https://acme-test.uipath.com/work-items/91000082,91000082,Research Client Check Copy,WI2,Open,2022-04-08
,https://acme-test.uipath.com/work-items/91000093,91000093,Research Client Check Copy,WI2,Open,2019-06-21
,https://acme-test.uipath.com/work-items/91000130,91000130,Verify Account Position,WI1,Open,2019-05-23
,https://acme-test.uipath.com/work-items/91000097,91000097,Research Client Check Copy,WI2,Open,2020-09-28
,https://acme-test.uipath.com/work-items/91000079,91000079,Research Client Check Copy,WI2,Open,2018-06-14
,https://acme-test.uipath.com/work-items/91000073,91000073,Research Client Check Copy,WI2,Open,2021-06-03
,https://acme-test.uipath.com/work-items/91000058,91000058,Process Vendor Invoice,WI3,Open,2020-12-25
,https://acme-test.uipath.com/work-items/91000072,91000072,Research Client Check Copy,WI2,Open,2020-04-28
,https://acme-test.uipath.com/work-items/91000060,91000060,Process Vendor Invoice,WI3,Open,2022-07-31
,https://acme-test.uipath.com/work-items/91000140,91000140,Verify Account Position,WI1,Open,2021-05-11
,https://acme-test.uipath.com/work-items/91000030,91000030,Calculate Client Security Hash,WI5,Open,2018-09-22
,https://acme-test.uipath.com/work-items/91000063,91000063,Process Vendor Invoice,WI3,Open,2022-03-30
,https://acme-test.uipath.com/work-items/91000089,91000089,Research Client Check Copy,WI2,Open,2023-02-13
,https://acme-test.uipath.com/work-items/91000111,91000111,Research Client Check Copy,WI2,Open,2022-05-20
,https://acme-test.uipath.com/work-items/91000091,91000091,Research Client Check Copy,WI2,Open,2018-06-09
,https://acme-test.uipath.com/work-items/91000146,91000146,Verify Account Position,WI1,Open,2018-06-11
,https://acme-test.uipath.com/work-items/91000077,91000077,Research Client Check Copy,WI2,Open,2019-07-13
,https://acme-test.uipath.com/work-items/91000145,91000145,Verify Account Position,WI1,Open,2020-12-15
,https://acme-test.uipath.com/work-items/91000075,91000075,Research Client Check Copy,WI2,Open,2022-04-02
,https://acme-test.uipath.com/work-items/91000143,91000143,Verify Account Position,WI1,Open,2022-09-27
,https://acme-test.uipath.com/work-items/91000055,91000055,Process Vendor Invoice,WI3,Open,2020-04-09
,https://acme-test.uipath.com/work-items/91000085,91000085,Research Client Check Copy,WI2,Open,2021-09-04
,https://acme-test.uipath.com/work-items/91000044,91000044,Generate Yearly Report for Vendor,WI4,Open,2017-07-31
,https://acme-test.uipath.com/work-items/91000101,91000101,Research Client Check Copy,WI2,Open,2018-12-19
,https://acme-test.uipath.com/work-items/91000124,91000124,Verify Account Position,WI1,Open,2019-10-12
,https://acme-test.uipath.com/work-items/91000066,91000066,Process Vendor Invoice,WI3,Open,2022-01-31
,https://acme-test.uipath.com/work-items/91000131,91000131,Verify Account Position,WI1,Open,2018-12-29
,https://acme-test.uipath.com/work-items/91000088,91000088,Research Client Check Copy,WI2,Open,2020-02-10
,https://acme-test.uipath.com/work-items/91000117,91000117,Verify Account Position,WI1,Open,2017-03-23
,https://acme-test.uipath.com/work-items/91000069,91000069,Research Client Check Copy,WI2,Open,2017-11-04
,https://acme-test.uipath.com/work-items/91000123,91000123,Verify Account Position,WI1,Open,2019-02-26
,https://acme-test.uipath.com/work-items/91000036,91000036,Calculate Client Security Hash,WI5,Open,2023-03-08
,https://acme-test.uipath.com/work-items/91000038,91000038,Calculate Client Security Hash,WI5,Open,2017-01-26
,https://acme-test.uipath.com/work-items/91000119,91000119,Verify Account Position,WI1,Open,2017-07-21
,https://acme-test.uipath.com/work-items/91000041,91000041,Calculate Client Security Hash,WI5,Open,2018-02-04
,https://acme-test.uipath.com/work-items/91000136,91000136,Verify Account Position,WI1,Open,2019-01-14
,https://acme-test.uipath.com/work-items/91000080,91000080,Research Client Check Copy,WI2,Open,2020-02-23
,https://acme-test.uipath.com/work-items/91000084,91000084,Research Client Check Copy,WI2,Open,2018-01-10
,https://acme-test.uipath.com/work-items/91000135,91000135,Verify Account Position,WI1,Open,2019-06-02
,https://acme-test.uipath.com/work-items/91000134,91000134,Verify Account Position,WI1,Open,2019-06-22
,https://acme-test.uipath.com/work-items/91000090,91000090,Research Client Check Copy,WI2,Open,2018-12-02
,https://acme-test.uipath.com/work-items/91000109,91000109,Research Client Check Copy,WI2,Open,2020-01-22
,https://acme-test.uipath.com/work-items/91000062,91000062,Process Vendor Invoice,WI3,Open,2022-05-18
,https://acme-test.uipath.com/work-items/91000120,91000120,Verify Account Position,WI1,Open,2020-09-27
,https://acme-test.uipath.com/work-items/91000102,91000102,Research Client Check Copy,WI2,Open,2019-12-21
,https://acme-test.uipath.com/work-items/91000116,91000116,Verify Account Position,WI1,Open,2022-04-13
,https://acme-test.uipath.com/work-items/91000127,91000127,Verify Account Position,WI1,Open,2021-05-04
,https://acme-test.uipath.com/work-items/91000092,91000092,Research Client Check Copy,WI2,Open,2018-04-03
,https://acme-test.uipath.com/work-items/91000126,91000126,Verify Account Position,WI1,Open,2021-08-04
,https://acme-test.uipath.com/work-items/91000053,91000053,Generate Yearly Report for Vendor,WI4,Open,2017-11-10
,https://acme-test.uipath.com/work-items/91000128,91000128,Verify Account Position,WI1,Open,2020-05-23
,https://acme-test.uipath.com/work-items/91000098,91000098,Research Client Check Copy,WI2,Open,2022-12-09
,https://acme-test.uipath.com/work-items/91000042,91000042,Generate Yearly Report for Vendor,WI4,Open,2020-01-07
,https://acme-test.uipath.com/work-items/91000035,91000035,Calculate Client Security Hash,WI5,Open,2019-05-05
,https://acme-test.uipath.com/work-items/91000045,91000045,Generate Yearly Report for Vendor,WI4,Open,2022-08-19
,https://acme-test.uipath.com/work-items/91000068,91000068,Research Client Check Copy,WI2,Open,2020-06-22
,https://acme-test.uipath.com/work-items/91000107,91000107,Research Client Check Copy,WI2,Open,2018-07-19
,https://acme-test.uipath.com/work-items/91000148,91000148,Verify Account Position,WI1,Open,2022-11-13
,https://acme-test.uipath.com/work-items/91000113,91000113,Research Client Check Copy,WI2,Open,2019-05-06
,https://acme-test.uipath.com/work-items/91000037,91000037,Calculate Client Security Hash,WI5,Open,2019-06-10
,https://acme-test.uipath.com/work-items/91000115,91000115,Verify Account Position,WI1,Open,2019-09-22
,https://acme-test.uipath.com/work-items/91000057,91000057,Process Vendor Invoice,WI3,Open,2021-04-09
,https://acme-test.uipath.com/work-items/91000083,91000083,Research Client Check Copy,WI2,Open,2017-05-26
,https://acme-test.uipath.com/work-items/91000026,91000026,Calculate Client Security Hash,WI5,Open,2022-05-26
,https://acme-test.uipath.com/work-items/91000087,91000087,Research Client Check Copy,WI2,Open,2021-02-02
,https://acme-test.uipath.com/work-items/91000065,91000065,Process Vendor Invoice,WI3,Open,2019-07-28
,https://acme-test.uipath.com/work-items/91000108,91000108,Research Client Check Copy,WI2,Open,2020-03-06
,https://acme-test.uipath.com/work-items/91000050,91000050,Generate Yearly Report for Vendor,WI4,Open,2019-08-01
,https://acme-test.uipath.com/work-items/91000133,91000133,Verify Account Position,WI1,Open,2020-12-27
,https://acme-test.uipath.com/work-items/91000067,91000067,Research Client Check Copy,WI2,Open,2022-07-12
,https://acme-test.uipath.com/work-items/91000034,91000034,Calculate Client Security Hash,WI5,Open,2018-03-30
,https://acme-test.uipath.com/work-items/91000094,91000094,Research Client Check Copy,WI2,Open,2020-12-07
,https://acme-test.uipath.com/work-items/91000049,91000049,Generate Yearly Report for Vendor,WI4,Open,2019-12-09
,https://acme-test.uipath.com/work-items/91000100,91000100,Research Client Check Copy,WI2,Open,2021-10-21
,https://acme-test.uipath.com/work-items/91000040,91000040,Calculate Client Security Hash,WI5,Open,2021-11-19
,https://acme-test.uipath.com/work-items/91000149,91000149,Verify Account Position,WI1,Open,2018-07-12
,https://acme-test.uipath.com/work-items/91000048,91000048,Generate Yearly Report for Vendor,WI4,Open,2017-11-07
,https://acme-test.uipath.com/work-items/91000064,91000064,Process Vendor Invoice,WI3,Open,2017-04-09
,https://acme-test.uipath.com/work-items/91000029,91000029,Calculate Client Security Hash,WI5,Open,2021-11-05
,https://acme-test.uipath.com/work-items/91000095,91000095,Research Client Check Copy,WI2,Open,2021-09-19
,https://acme-test.uipath.com/work-items/91000104,91000104,Research Client Check Copy,WI2,Open,2019-06-04
,https://acme-test.uipath.com/work-items/91000118,91000118,Verify Account Position,WI1,Open,2020-01-07
,https://acme-test.uipath.com/work-items/91000121,91000121,Verify Account Position,WI1,Open,2018-07-03
,https://acme-test.uipath.com/work-items/91000142,91000142,Verify Account Position,WI1,Open,2017-08-10
,https://acme-test.uipath.com/work-items/91000071,91000071,Research Client Check Copy,WI2,Open,2018-07-15
,https://acme-test.uipath.com/work-items/91000132,91000132,Verify Account Position,WI1,Open,2020-05-12
,https://acme-test.uipath.com/work-items/91000076,91000076,Research Client Check Copy,WI2,Open,2021-03-05
,https://acme-test.uipath.com/work-items/91000047,91000047,Generate Yearly Report for Vendor,WI4,Open,2022-12-31
,https://acme-test.uipath.com/work-items/91000125,91000125,Verify Account Position,WI1,Open,2018-01-31
,https://acme-test.uipath.com/work-items/91000061,91000061,Process Vendor Invoice,WI3,Open,2021-03-20
,https://acme-test.uipath.com/work-items/91000054,91000054,Generate Yearly Report for Vendor,WI4,Open,2022-08-04
,https://acme-test.uipath.com/work-items/91000031,91000031,Calculate Client Security Hash,WI5,Open,2019-12-18
,https://acme-test.uipath.com/work-items/91000051,91000051,Generate Yearly Report for Vendor,WI4,Open,2019-09-06
,https://acme-test.uipath.com/work-items/91000138,91000138,Verify Account Position,WI1,Open,2022-03-10
,https://acme-test.uipath.com/work-items/91000110,91000110,Research Client Check Copy,WI2,Open,2019-08-14
,https://acme-test.uipath.com/work-items/91000086,91000086,Research Client Check Copy,WI2,Open,2019-11-05
,https://acme-test.uipath.com/work-items/91000033,91000033,Calculate Client Security Hash,WI5,Open,2018-12-15
,https://acme-test.uipath.com/work-items/91000139,91000139,Verify Account Position,WI1,Open,2020-11-17
,https://acme-test.uipath.com/work-items/91000028,91000028,Calculate Client Security Hash,WI5,Open,2017-11-16
,https://acme-test.uipath.com/work-items/91000081,91000081,Research Client Check Copy,WI2,Open,2019-09-11
,https://acme-test.uipath.com/work-items/91000074,91000074,Research Client Check Copy,WI2,Open,2019-05-08
,https://acme-test.uipath.com/work-items/91000025,91000025,Calculate Client Security Hash,WI5,Open,2018-04-14
,https://acme-test.uipath.com/work-items/91000144,91000144,Verify Account Position,WI1,Open,2018-08-28
,https://acme-test.uipath.com/work-items/91000099,91000099,Research Client Check Copy,WI2,Open,2018-09-26
,https://acme-test.uipath.com/work-items/91000043,91000043,Generate Yearly Report for Vendor,WI4,Open,2018-06-04
,https://acme-test.uipath.com/work-items/91000052,91000052,Generate Yearly Report for Vendor,WI4,Open,2021-11-17
